Initial, Result, Steps
12643, 947848, 4
12648, 1038939, 3
12677, 885478, 3
12708, 1054449, 3
12715, 416603, 3
12726, 559845, 3
12728, 999889, 3
12763, 945538, 4
12765, 427713, 3
12767, 867757, 3
12768, 1087779, 3
12793, 12793, 0
12797, 914518, 3
12801, 903408, 5
12823, 885478, 4
12857, 840037, 3
12863, 953348, 4
12888, 1008810, 2
12898, 1019920, 2
12913, 840037, 4
12943, 963358, 4
12945, 382173, 3
12949, 186571, 2
12957, 844437, 3
12963, 952248, 4
12965, 426613, 3
13087, 904508, 3
13097, 926728, 3
13197, 931128, 3
13287, 903408, 3
13383, 1054449, 4
13392, 559845, 4
13393, 999889, 4
13397, 930028, 3
13508, 13508, 0
13523, 904508, 4
13533, 948948, 4
13547, 836737, 3
13553, 937838, 4
13555, 418913, 3
13596, 13596, 0
13597, 937838, 3
13608, 1072269, 3
13623, 903408, 4
13633, 947848, 4
13638, 1038939, 3
13667, 885478, 3
13694, 282172, 3
13705, 416603, 3
13716, 559845, 3
13718, 999889, 3
13753, 945538, 4
13755, 427713, 3
13757, 867757, 3
13758, 1087779, 3
13783, 13783, 0
13787, 914518, 3
13813, 885478, 4
13847, 840037, 3
13853, 953348, 4
13878, 1008810, 2
13888, 1019920, 2
13903, 840037, 4
13933, 963358, 4
13935, 382173, 3
13939, 186571, 2
13947, 844437, 3
13953, 952248, 4
13955, 426613, 3
13997, 945538, 3
14077, 904508, 3
14087, 926728, 3
14096, 728926, 3
14097, 948948, 3
14187, 931128, 3
14197, 953348, 3
14277, 903408, 3
14297, 947848, 3
14373, 1054449, 4
14382, 559845, 4
14383, 999889, 4
14387, 930028, 3
14397, 952248, 3
14513, 904508, 4
14523, 948948, 4
14537, 836737, 3
14543, 937838, 4
14545, 418913, 3
14586, 14586, 0
14587, 937838, 3
14613, 903408, 4
14623, 947848, 4
14628, 1038939, 3
14657, 885478, 3
14684, 282172, 3
14698, 1037740, 2
14706, 559845, 3
14708, 999889, 3
14743, 945538, 4
14745, 427713, 3
14747, 867757, 3
14748, 1087779, 3
14773, 14773, 0
14777, 914518, 3
14803, 885478, 4
14837, 840037, 3
14843, 953348, 4
14868, 1008810, 2
14878, 1019920, 2
14897, 963358, 3
14923, 963358, 4
14925, 382173, 3
14929, 186571, 2
14937, 844437, 3
14943, 952248, 4
14945, 426613, 3
14987, 945538, 3
14995, 527714, 3
15067, 904508, 3
15077, 926728, 3
15086, 728926, 3
15087, 948948, 3
15177, 931128, 3
15187, 953348, 3
15267, 903408, 3
15287, 947848, 3
15297, 970068, 3
15363, 1054449, 4
15372, 559845, 4
15373, 999889, 4
15377, 930028, 3
15387, 952248, 3
15393, 1087779, 4
15503, 904508, 4
15513, 948948, 4
15527, 836737, 3
15533, 937838, 4
15535, 418913, 3
15576, 15576, 0
15577, 937838, 3
15597, 883278, 3
15603, 903408, 4
15613, 947848, 4
15618, 1038939, 3
15647, 885478, 3
15674, 282172, 3
15688, 1037740, 2
15733, 945538, 4
15735, 427713, 3
15737, 867757, 3
15738, 1087779, 3
