Initial, Result, Steps
368, 2552, 2
369, 3663, 2
370, 6325, 4
371, 10769, 4
372, 3102, 3
373, 5324, 3
374, 374, 0
375, 9768, 3
376, 10450, 2
377, 1661, 2
378, 2772, 2
379, 3883, 2
380, 7106, 4
381, 10230, 3
382, 2552, 3
383, 4774, 3
384, 6996, 3
385, 385, 0
386, 10670, 2
387, 1881, 2
388, 2992, 2
389, 4103, 2
390, 6996, 4
391, 10670, 3
392, 2992, 3
393, 5214, 3
394, 7436, 3
395, 9658, 3
396, 396, 0
397, 2101, 2
398, 3212, 2
399, 4323, 2
400, 7777, 4
401, 1111, 3
402, 3333, 3
403, 5555, 3
404, 7777, 3
405, 9999, 3
406, 1111, 2
407, 407, 0
408, 3333, 2
409, 4444, 2
410, 8657, 4
411, 1551, 3
412, 3773, 3
413, 5995, 3
414, 8217, 3
415, 10439, 3
416, 1331, 2
417, 2442, 2
418, 418, 0
419, 4664, 2
420, 8547, 4
421, 1991, 3
422, 4213, 3
423, 6435, 3
424, 8657, 3
425, 10879, 3
426, 1551, 2
427, 2662, 2
428, 3773, 2
429, 429, 0
430, 9328, 4
431, 1441, 3
432, 3663, 3
433, 5885, 3
434, 8107, 3
435, 10329, 3
436, 1771, 2
437, 2882, 2
438, 3993, 2
439, 5104, 2
440, 440, 0
441, 1881, 3
442, 4103, 3
443, 6325, 3
444, 8547, 3
445, 10769, 3
446, 1991, 2
447, 3102, 2
448, 4213, 2
449, 5324, 2
450, 9999, 4
451, 451, 0
452, 4444, 3
453, 6666, 3
454, 8888, 3
455, 10010, 2
456, 1221, 2
457, 2332, 2
458, 3443, 2
459, 4554, 2
460, 10879, 4
461, 2662, 3
462, 462, 0
463, 7106, 3
464, 9328, 3
465, 10230, 2
466, 1441, 2
467, 2552, 2
468, 3663, 2
469, 4774, 2
470, 10769, 4
471, 3102, 3
472, 5324, 3
473, 473, 0
474, 9768, 3
475, 10450, 2
476, 1661, 2
477, 2772, 2
478, 3883, 2
479, 4994, 2
480, 10230, 3
481, 2552, 3
482, 4774, 3
483, 6996, 3
484, 484, 0
485, 10670, 2
486, 1881, 2
487, 2992, 2
488, 4103, 2
489, 5214, 2
490, 10670, 3
491, 2992, 3
492, 5214, 3
493, 7436, 3
494, 9658, 3
495, 495, 0
496, 2101, 2
497, 3212, 2
498, 4323, 2
499, 5434, 2
500, 1111, 3
501, 3333, 3
502, 5555, 3
503, 7777, 3
504, 9999, 3
505, 1111, 2
506, 506, 0
507, 3333, 2
508, 4444, 2
509, 5555, 2
510, 1551, 3
511, 3773, 3
512, 5995, 3
513, 8217, 3
514, 10439, 3
515, 1331, 2
516, 2442, 2
517, 517, 0
518, 4664, 2
519, 5775, 2
520, 1991, 3
521, 4213, 3
522, 6435, 3
523, 8657, 3
524, 10879, 3
525, 1551, 2
526, 2662, 2
527, 3773, 2
528, 528, 0
529, 5995, 2
530, 1441, 3
531, 3663, 3
532, 5885, 3
533, 8107, 3
534, 10329, 3
535, 1771, 2
536, 2882, 2
537, 3993, 2
538, 5104, 2
539, 539, 0
540, 1881, 3
541, 4103, 3
542, 6325, 3
543, 8547, 3
544, 10769, 3
545, 1991, 2
546, 3102, 2
547, 4213, 2
548, 5324, 2
549, 6435, 2
550, 550, 0
551, 4444, 3
552, 6666, 3
553, 8888, 3
554, 10010, 2
555, 1221, 2
556, 2332, 2
557, 3443, 2
558, 4554, 2
559, 5665, 2
560, 2662, 3
561, 561, 0
562, 7106, 3
563, 9328, 3
564, 10230, 2
565, 1441, 2
566, 2552, 2
567, 3663, 2
568, 4774, 2
569, 5885, 2
570, 3102, 3
571, 5324, 3
572, 572, 0
573, 9768, 3
574, 10450, 2
575, 1661, 2
576, 2772, 2
577, 3883, 2
578, 4994, 2
579, 6105, 2
580, 2552, 3
581, 4774, 3
582, 6996, 3
583, 583, 0
584, 10670, 2
585, 1881, 2
586, 2992, 2
587, 4103, 2
588, 5214, 2
589, 6325, 2
590, 2992, 3
591, 5214, 3
592, 7436, 3
593, 9658, 3
594, 594, 0
595, 2101, 2
596, 3212, 2
597, 4323, 2
598, 5434, 2
599, 6545, 2
600, 3333, 3
601, 5555, 3
602, 7777, 3
603, 9999, 3
604, 1111, 2
605, 605, 0
606, 3333, 2
607, 4444, 2
608, 5555, 2
609, 6666, 2
610, 3773, 3
611, 5995, 3
612, 8217, 3
613, 10439, 3
614, 1331, 2
615, 2442, 2
616, 616, 0
617, 4664, 2
618, 5775, 2
619, 6886, 2
620, 4213, 3
621, 6435, 3
622, 8657, 3
623, 10879, 3
624, 1551, 2
625, 2662, 2
626, 3773, 2
627, 627, 0
628, 5995, 2
629, 7106, 2
630, 3663, 3
631, 5885, 3
632, 8107, 3
633, 10329, 3
634, 1771, 2
635, 2882, 2
636, 3993, 2
637, 5104, 2
638, 638, 0
639, 7326, 2
640, 4103, 3
641, 6325, 3
642, 8547, 3
643, 10769, 3
644, 1991, 2
645, 3102, 2
646, 4213, 2
647, 5324, 2
648, 6435, 2
649, 649, 0
650, 4444, 3
651, 6666, 3
652, 8888, 3
653, 10010, 2
654, 1221, 2
655, 2332, 2
656, 3443, 2
657, 4554, 2
658, 5665, 2
659, 6776, 2
660, 660, 0
661, 7106, 3
662, 9328, 3
663, 10230, 2
664, 1441, 2
665, 2552, 2
666, 3663, 2
667, 4774, 2
668, 5885, 2
669, 6996, 2
670, 5324, 3
671, 671, 0
672, 9768, 3
673, 10450, 2
674, 1661, 2
675, 2772, 2
676, 3883, 2
677, 4994, 2
678, 6105, 2
679, 7216, 2
680, 4774, 3
681, 6996, 3
682, 682, 0
683, 10670, 2
684, 1881, 2
685, 2992, 2
686, 4103, 2
687, 5214, 2
688, 6325, 2
689, 7436, 2
690, 5214, 3
691, 7436, 3
692, 9658, 3
693, 693, 0
694, 2101, 2
695, 3212, 2
696, 4323, 2
697, 5434, 2
698, 6545, 2
699, 7656, 2
700, 5555, 3
701, 7777, 3
702, 9999, 3
703, 1111, 2
704, 704, 0
705, 3333, 2
706, 4444, 2
707, 5555, 2
708, 6666, 2
709, 7777, 2
710, 5995, 3
711, 8217, 3
712, 10439, 3
713, 1331, 2
714, 2442, 2
715, 715, 0
716, 4664, 2
717, 5775, 2
718, 6886, 2
719, 7997, 2
720, 6435, 3
721, 8657, 3
722, 10879, 3
723, 1551, 2
724, 2662, 2
725, 3773, 2
726, 726, 0
727, 5995, 2
728, 7106, 2
729, 8217, 2
730, 5885, 3
731, 8107, 3
732, 10329, 3
733, 1771, 2
734, 2882, 2
735, 3993, 2
736, 5104, 2
737, 737, 0
738, 7326, 2
739, 8437, 2
740, 6325, 3
741, 8547, 3
742, 10769, 3
743, 1991, 2
744, 3102, 2
745, 4213, 2
746, 5324, 2
747, 6435, 2
748, 748, 0
749, 8657, 2
750, 6666, 3
751, 8888, 3
752, 10010, 2
753, 1221, 2
754, 2332, 2
755, 3443, 2
756, 4554, 2
757, 5665, 2
758, 6776, 2
759, 759, 0
760, 7106, 3
761, 9328, 3
762, 10230, 2
763, 1441, 2
764, 2552, 2
765, 3663, 2
766, 4774, 2
767, 5885, 2
768, 6996, 2
769, 8107, 2
770, 770, 0
771, 9768, 3
772, 10450, 2
773, 1661, 2
774, 2772, 2
775, 3883, 2
776, 4994, 2
777, 6105, 2
778, 7216, 2
779, 8327, 2
780, 6996, 3
781, 781, 0
782, 10670, 2
783, 1881, 2
784, 2992, 2
785, 4103, 2
786, 5214, 2
787, 6325, 2
788, 7436, 2
789, 8547, 2
790, 7436, 3
791, 9658, 3
792, 792, 0
793, 2101, 2
794, 3212, 2
795, 4323, 2
796, 5434, 2
797, 6545, 2
798, 7656, 2
799, 8767, 2
800, 7777, 3
801, 9999, 3
802, 1111, 2
803, 803, 0
804, 3333, 2
805, 4444, 2
806, 5555, 2
807, 6666, 2
808, 7777, 2
809, 8888, 2
810, 8217, 3
811, 10439, 3
812, 1331, 2
813, 2442, 2
814, 814, 0
815, 4664, 2
816, 5775, 2
817, 6886, 2
818, 7997, 2
819, 9108, 2
820, 8657, 3
821, 10879, 3
822, 1551, 2
823, 2662, 2
824, 3773, 2
825, 825, 0
826, 5995, 2
827, 7106, 2
828, 8217, 2
829, 9328, 2
830, 8107, 3
831, 10329, 3
832, 1771, 2
833, 2882, 2
834, 3993, 2
835, 5104, 2
836, 836, 0
837, 7326, 2
838, 8437, 2
839, 9548, 2
840, 8547, 3
841, 10769, 3
842, 1991, 2
843, 3102, 2
844, 4213, 2
845, 5324, 2
846, 6435, 2
847, 847, 0
848, 8657, 2
849, 9768, 2
850, 8888, 3
851, 10010, 2
852, 1221, 2
853, 2332, 2
854, 3443, 2
855, 4554, 2
856, 5665, 2
857, 6776, 2
858, 858, 0
859, 8998, 2
860, 9328, 3
861, 10230, 2
862, 1441, 2
863, 2552, 2
864, 3663, 2
865, 4774, 2
866, 5885, 2
867, 6996, 2
868, 8107, 2
869, 869, 0
870, 9768, 3
871, 10450, 2
872, 1661, 2
873, 2772, 2
874, 3883, 2
875, 4994, 2
876, 6105, 2
877, 7216, 2
878, 8327, 2
879, 9438, 2
880, 880, 0
881, 10670, 2
882, 1881, 2
883, 2992, 2
884, 4103, 2
885, 5214, 2
886, 6325, 2
887, 7436, 2
888, 8547, 2
889, 9658, 2
890, 9658, 3
891, 891, 0
892, 2101, 2
893, 3212, 2
894, 4323, 2
895, 5434, 2
896, 6545, 2
897, 7656, 2
898, 8767, 2
899, 9878, 2
900, 9999, 3
901, 1111, 2
902, 902, 0
903, 3333, 2
904, 4444, 2
905, 5555, 2
906, 6666, 2
907, 7777, 2
908, 8888, 2
909, 9999, 2
910, 10439, 3
911, 1331, 2
912, 2442, 2
913, 913, 0
914, 4664, 2
915, 5775, 2
916, 6886, 2
917, 7997, 2
918, 9108, 2
919, 10219, 2
920, 10879, 3
921, 1551, 2
922, 2662, 2
923, 3773, 2
924, 924, 0
925, 5995, 2
926, 7106, 2
927, 8217, 2
928, 9328, 2
929, 10439, 2
930, 10329, 3
931, 1771, 2
932, 2882, 2
933, 3993, 2
934, 5104, 2
935, 935, 0
936, 7326, 2
937, 8437, 2
938, 9548, 2
939, 10659, 2
940, 10769, 3
941, 1991, 2
942, 3102, 2
943, 4213, 2
944, 5324, 2
945, 6435, 2
946, 946, 0
947, 8657, 2
948, 9768, 2
949, 10879, 2
950, 10010, 2
951, 1221, 2
952, 2332, 2
953, 3443, 2
954, 4554, 2
955, 5665, 2
956, 6776, 2
957, 957, 0
958, 8998, 2
959, 10109, 2
960, 10230, 2
961, 1441, 2
962, 2552, 2
963, 3663, 2
964, 4774, 2
965, 5885, 2
966, 6996, 2
967, 8107, 2
968, 968, 0
969, 10329, 2
970, 10450, 2
971, 1661, 2
972, 2772, 2
973, 3883, 2
974, 4994, 2
975, 6105, 2
976, 7216, 2
977, 8327, 2
978, 9438, 2
979, 979, 0
980, 10670, 2
981, 1881, 2
982, 2992, 2
983, 4103, 2
984, 5214, 2
985, 6325, 2
986, 7436, 2
987, 8547, 2
988, 9658, 2
989, 10769, 2
990, 990, 0
991, 2101, 2
992, 3212, 2
993, 4323, 2
994, 5434, 2
995, 6545, 2
996, 7656, 2
997, 8767, 2
998, 9878, 2
999, 10989, 2
1000, 1001, 1
1001, 1001, 0
1002, 3003, 1
1003, 4004, 1
1004, 5005, 1
1005, 6006, 1
1006, 7007, 1
1007, 8008, 1
1008, 9009, 1
1009, 10010, 1
1010, 1111, 1
1011, 2112, 1
1012, 1012, 0
1013, 4114, 1
1014, 5115, 1
1015, 6116, 1
1016, 7117, 1
1017, 8118, 1
1018, 9119, 1
1019, 10120, 1
1020, 1221, 1
1021, 2222, 1
1022, 3223, 1
1023, 1023, 0
1024, 5225, 1
1025, 6226, 1
1026, 7227, 1
1027, 8228, 1
1028, 9229, 1
1029, 10230, 1
1030, 1331, 1
1031, 2332, 1
1032, 3333, 1
1033, 4334, 1
1034, 1034, 0
1035, 6336, 1
1036, 7337, 1
1037, 8338, 1
1038, 9339, 1
1039, 10340, 1
1040, 1441, 1
1041, 2442, 1
1042, 3443, 1
1043, 4444, 1
1044, 5445, 1
1045, 1045, 0
1046, 7447, 1
1047, 8448, 1
1048, 9449, 1
1049, 10450, 1
1050, 1551, 1
1051, 2552, 1
1052, 3553, 1
1053, 4554, 1
1054, 5555, 1
1055, 6556, 1
1056, 1056, 0
1057, 8558, 1
1058, 9559, 1
1059, 10560, 1
1060, 1661, 1
1061, 2662, 1
1062, 3663, 1
1063, 4664, 1
1064, 5665, 1
1065, 6666, 1
1066, 7667, 1
1067, 1067, 0
1068, 9669, 1
1069, 10670, 1
1070, 1771, 1
1071, 2772, 1
1072, 3773, 1
1073, 4774, 1
1074, 5775, 1
1075, 6776, 1
1076, 7777, 1
1077, 8778, 1
1078, 1078, 0
1079, 10780, 1
1080, 1881, 1
1081, 2882, 1
1082, 3883, 1
1083, 4884, 1
1084, 5885, 1
1085, 6886, 1
1086, 7887, 1
1087, 8888, 1
1088, 9889, 1
1089, 1089, 0
1090, 1991, 1
1091, 2992, 1
1092, 3993, 1
1093, 4994, 1
1094, 5995, 1
1095, 6996, 1
1096, 7997, 1
1097, 8998, 1
1098, 9999, 1
1099, 11000, 1
1100, 1100, 0
